category,algorithmus,reference_image,test_image,ref_position,response,resptime
Stadt,siggraph17,images/24.jpg,images/24_siggraph17.jpg,1,1,1.890237,24
Stadt,siggraph17,images/30.jpg,images/30_siggraph17.jpg,1,1,1.947666,30
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,0,0,0.94449,31
Natur,eccv16,images/18.jpg,images/18_eccv16.jpg,0,1,5.567079,18
Alltag,eccv16,images/59.jpg,images/59_eccv16.jpg,0,0,0.848079,59
Stadt,siggraph17,images/22.jpg,images/22_siggraph17.jpg,0,0,1.059126,22
Natur,siggraph17,images/5.jpg,images/5_siggraph17.jpg,0,1,3.149642,5
Natur,siggraph17,images/13.jpg,images/13_siggraph17.jpg,0,0,1.621852,13
Stadt,eccv16,images/38.jpg,images/38_eccv16.jpg,1,1,0.855427,38
Stadt,eccv16,images/37.jpg,images/37_eccv16.jpg,0,0,1.599387,37
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,1,1,2.0128,60
Stadt,eccv16,images/36.jpg,images/36_eccv16.jpg,1,1,1.30868,36
Stadt,eccv16,images/34.jpg,images/34_eccv16.jpg,1,1,2.821215,34
Stadt,eccv16,images/29.jpg,images/29_eccv16.jpg,1,1,1.869709,29
Alltag,siggraph17,images/56.jpg,images/56_siggraph17.jpg,1,1,1.051239,56
Alltag,siggraph17,images/53.jpg,images/53_siggraph17.jpg,1,1,1.096465,53
Natur,eccv16,images/7.jpg,images/7_eccv16.jpg,0,0,1.056983,7
Alltag,siggraph17,images/50.jpg,images/50_siggraph17.jpg,0,0,0.925972,50
Natur,eccv16,images/8.jpg,images/8_eccv16.jpg,1,1,1.574919,8
Natur,siggraph17,images/16.jpg,images/16_siggraph17.jpg,0,0,1.790858,16
Stadt,eccv16,images/35.jpg,images/35_eccv16.jpg,1,1,0.986479,35
Stadt,siggraph17,images/26.jpg,images/26_siggraph17.jpg,1,1,0.921106,26
Natur,eccv16,images/17.jpg,images/17_eccv16.jpg,0,0,3.276659,17
Natur,siggraph17,images/1.jpg,images/1_siggraph17.jpg,1,1,1.324412,1
Natur,eccv16,images/2.jpg,images/2_eccv16.jpg,1,1,1.924913,2
Alltag,eccv16,images/47.jpg,images/47_eccv16.jpg,1,1,0.984855,47
Stadt,siggraph17,images/27.jpg,images/27_siggraph17.jpg,0,0,2.050252,27
Alltag,eccv16,images/46.jpg,images/46_eccv16.jpg,1,1,0.813104,46
Alltag,eccv16,images/44.jpg,images/44_eccv16.jpg,1,1,0.976432,44
Natur,eccv16,images/19.jpg,images/19_eccv16.jpg,1,1,1.721487,19
Stadt,siggraph17,images/21.jpg,images/21_siggraph17.jpg,1,1,1.930644,21
Stadt,siggraph17,images/33.jpg,images/33_siggraph17.jpg,1,1,3.895726,33
Alltag,eccv16,images/55.jpg,images/55_eccv16.jpg,1,1,1.138925,55
Alltag,eccv16,images/58.jpg,images/58_eccv16.jpg,1,1,0.811272,58
Alltag,eccv16,images/51.jpg,images/51_eccv16.jpg,0,0,0.811735,51
Natur,siggraph17,images/3.jpg,images/3_siggraph17.jpg,0,0,2.795979,3
Alltag,eccv16,images/54.jpg,images/54_eccv16.jpg,0,0,1.049451,54
Natur,eccv16,images/11.jpg,images/11_eccv16.jpg,1,1,0.940857,11
Stadt,eccv16,images/23.jpg,images/23_eccv16.jpg,0,0,0.868611,23
Natur,eccv16,images/9.jpg,images/9_eccv16.jpg,1,1,0.922156,9
Stadt,eccv16,images/40.jpg,images/40_eccv16.jpg,1,1,1.417792,40
Natur,siggraph17,images/6.jpg,images/6_siggraph17.jpg,1,1,1.01162,6
Stadt,siggraph17,images/28.jpg,images/28_siggraph17.jpg,0,0,0.771028,28
Alltag,eccv16,images/52.jpg,images/52_eccv16.jpg,0,0,0.950357,52
Natur,siggraph17,images/20.jpg,images/20_siggraph17.jpg,1,1,1.449213,20
Alltag,siggraph17,images/41.jpg,images/41_siggraph17.jpg,0,0,1.024495,41
Alltag,siggraph17,images/42.jpg,images/42_siggraph17.jpg,0,0,1.304356,42
Stadt,eccv16,images/32.jpg,images/32_eccv16.jpg,0,0,0.801633,32
Alltag,siggraph17,images/57.jpg,images/57_siggraph17.jpg,0,0,0.793493,57
Alltag,eccv16,images/48.jpg,images/48_eccv16.jpg,1,1,0.811801,48
Stadt,siggraph17,images/25.jpg,images/25_siggraph17.jpg,0,0,2.570417,25
Natur,eccv16,images/4.jpg,images/4_eccv16.jpg,0,0,1.410592,4
Natur,eccv16,images/14.jpg,images/14_eccv16.jpg,1,1,1.078232,14
Alltag,siggraph17,images/45.jpg,images/45_siggraph17.jpg,1,1,0.895983,45
Natur,siggraph17,images/12.jpg,images/12_siggraph17.jpg,1,0,1.02025,12
Natur,siggraph17,images/10.jpg,images/10_siggraph17.jpg,0,1,0.989223,10
Stadt,siggraph17,images/39.jpg,images/39_siggraph17.jpg,0,0,1.048698,39
Alltag,siggraph17,images/49.jpg,images/49_siggraph17.jpg,1,1,0.864648,49
Natur,siggraph17,images/15.jpg,images/15_siggraph17.jpg,0,0,1.032439,15
Alltag,siggraph17,images/43.jpg,images/43_siggraph17.jpg,1,1,0.922451,43
